Règne,Embranchement,Classe,Ordre,Famille,Genre,Espèce,Nom latin,name,Image_URL,Zone,Vulnerability
Animal,Chordé vertébré,Mammifère placentaire,Primates,Lemuridé,Varecia,rubra,varecia rubra,vari roux,https://www.monde-animal.fr/wp-content/uploads/2020/03/fiche-animale-monde-animal-dragon-de-komodo.jpg,Amérique du Sud.,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle,Camelidae,Vicugna,vicugna,vicugna vicugna,vigogne,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-perentie.jpg,Europe.,Least Concern
Animal,Chordé vertébré,Mammifère marsupial,Diprotodonte,Macropodidé,Macropus,rufogriseus,macropus rufogriseus,wallaby a cou rouge,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-vari-noir-et-blanc.jpg,tous les océans,Least Concern
Animal,Chordé vertébré,Mammifère marsupial,Diprotodonte,Macropodidé,Macropus,parma,macropus parma,wallaby de parma,https://www.monde-animal.fr/wp-content/uploads/2021/03/fiche-animale-monde-animal-vautour-fauve.jpg,Asie,Critically Endangered
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Cervidae cervinae,Cervus,canadensis,cervus canadensis,wapiti,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-vigogne.jpg,Afrique,Endangered
Animal,Chordé vertébré,Mammifère marsupial,Diprotodonte,Vombatidés,Vombatus,Ursinus,vombatus ursinus,wombat commun,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-wallaby-de-bennett.jpg,Australie continentale,Endangered
Animal,Chordé vertébré,Mammifère placentaire,Périssodactyle ruminant,Equidé,Equus,grevyi,equus grevyi,zebre de grevy,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-wallaby-de-bennett.jpg, l’île de Madagascar,Critically Endangered
Animal,Chordé vertébré,Mammifère placentaire,Périssodactyle ruminant,Equidae,Equus,zebra,equus zebra,zebre de montagne,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-wallaby-de-parma.jpg,’île de Madagascar,Endangered
Animal,Chordé vertébré,Mammifère placentaire,Périssodactyle ruminant,Equidé,Equus,quagga,equus quagga,zebre des plaines,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-wapiti.jpg,Europe,Critically Endangered
animal,chorde vertebre,oiseau,passeriforme,prunellide,prunella,modularis,prunella modularis,accenteur mouchet,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide hippotragine,addax,nasomaculatus,addax nasomaculatus,addax,,,Least Concern
animal,chorde vertebre,oiseau,accipitriforme,accipitride,aquila,chrysaetos,aquila chrysaetos,aigle royal,,,Least Concern
animal,chorde vertebre,oiseau,pelecaniforme,ardeide,egretta,garzetta,egretta garzetta,aigrette garzette,,,Least Concern
animal,chorde vertebre,oiseau,passeriforme,alaudide,alauda,arvensis,alauda arvensis,alouette des champs,,,Aucun résultat
animal,chorde vertebre,mammifere placentaire,artiodactyle,camelide,vicugna,pacos,vicugna pacos,alpaga,,,Least Concern
animal,chorde vertebre,reptile,squamate,boide,eunectes,murinus,eunectes murinus,anaconda geant,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,bubalus,depressicornis,bubalus depressicornis,anoa des plaines,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,ammodorcas,clarkei,ammodorcas clarkei,antilope de clarke,,,Aucun résultat
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,pantholops,hodgsonii,pantholops hodgsonii,antilope du tibet,,,Near Threatened
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,boselaphus,tragocamelus,boselaphus tragocamelus,antilope nilgaut,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide hippotragine,hippotragus,equinus,hippotragus equinus,antilope rouanne,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,ovis,ammon,ovis ammon,argali,,,Least Concern
animal,chorde vertebre,oiseau,accipitriforme,accipitride,accipiter,gentilis,accipiter gentilis,autour des palombes,,,Least Concern
animal,chorde vertebre,oiseau,charadriiforme,recurvirostride,recurvirostra,avosetta,recurvirostra avosetta,avocette elegante,,,Aucun résultat
animal,chorde vertebre,mammifere placentaire,cetardiodactyle suiforme,suide babyrousine,babyrousa,babyrussa,babyrousa babyrussa,babiroussa,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,bos,javanicus,bos javanicus,banteng,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,dorcatragus,megalotis,dorcatragus megalotis,beira,,,Near Threatened
animal,chorde vertebre,oiseau,passeriforme,motacillide,motacilla,alba,motacilla alba,bergeronnette grise,,,Least Concern
animal,chorde vertebre,oiseau,anseriforme,anatide,branta,canadensis,branta canadensis,bernache du canada,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide alcelaphine,damaliscus,pygargus,damaliscus pygargus,blesbok,,,Near Threatened
animal,chorde vertebre,reptile,squamate,boide,boa,constrictor,boa constrictor,boa constricteur,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,tragelaphus,eurycerus,tragelaphus eurycerus,bongo,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,capra,walie,capra walie,bouquetin d'abyssinie,,,Lower Risk/conservation dependent
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,capra,nubiana,capra nubiana,bouquetin de nubie,,,Vulnerable
animal,chorde vertebre,oiseau,passeriforme,fringillide,pyrrhula,pyrrhula,pyrrhula pyrrhula,bouvreuil pivoine,,,Vulnerable
animal,chorde vertebre,oiseau,passeriforme,emberizide,emberiza,citrinella,emberiza citrinella,bruant jaune,,,Vulnerable
animal,chorde vertebre,oiseau,passeriforme,emberizide,emberiza,hortulana,emberiza hortulana,bruant ortolan,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,bubalus,bubalis,bubalus bubalis,buffle d'asie,,,Least Concern
animal,chorde vertebre,oiseau,accipitriforme,accipitride,circus,cyaneus,circus cyaneus,busard saint-martin,,,Least Concern
animal,chorde vertebre,oiseau,accipitriforme,accipitride,buteo,buteo,buteo buteo,buse variable,,,Least Concern
animal,chorde vertebre,oiseau,galliforme,phasianide,coturnix,coturnix,coturnix coturnix,caille des bles,,,Critically Endangered
animal,chorde vertebre,oiseau,psittaciforme,cacatuide,nymphicus,hollandicus,nymphicus hollandicus,calopsitte elegante,,,Least Concern
animal,chorde vertebre,mammifere,rodentien,cricetide,microtus,arvalis,microtus arvalis,campagnol des champs,,,Least Concern
animal,chorde vertebre,oiseau,anseriforme,anatide,anas,platyrhynchos,anas platyrhynchos,canard colvert,,,Endangered
animal,chorde vertebre,oiseau,anseriforme,anatide,aix,galericulata,aix galericulata,canard mandarin,,,Endangered
animal,chorde vertebre,oiseau,anseriforme,anatide,anser,penelope,anas penelope,canard siffleur,,,Endangered
animal,chorde vertebre,mammifere placentaire,primate haplorrhinien,cebide cebine,cebus,apella,cebus apella,capucin brun,,,Least Concern
animal,chorde vertebre,mammifere placentaire,carnivore feliforme,felin feline,caracal,caracal,caracal caracal,caracal,,,Least Concern
animal,chorde vertebre,mammifere placentaire,rongeur castorimorphe,castoride,castor,fiber,castor fiber,castor d'europe,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,silvicultor,cephalophus silvicultor,cephalophe a dos jaune,,,Least Concern
